Local time,Open,High,Low,Close,Volume
31.12.2018 21:00:00.000 GMT+0700,1.14463,1.14596,1.14255,1.14514,90049.95899999999
01.01.2019 01:00:00.000 GMT+0700,1.14515,1.14674,1.14424,1.14644,30161.619700000003
01.01.2019 05:00:00.000 GMT+0700,1.14644,1.14644,1.14627,1.14627,5.25
01.01.2019 09:00:00.000 GMT+0700,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 13:00:00.000 GMT+0700,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 17:00:00.000 GMT+0700,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 21:00:00.000 GMT+0700,1.14627,1.14627,1.14627,1.14627,0
02.01.2019 01:00:00.000 GMT+0700,1.14627,1.14627,1.14627,1.14627,0
02.01.2019 05:00:00.000 GMT+0700,1.14598,1.14676,1.14457,1.14521,30382
02.01.2019 09:00:00.000 GMT+0700,1.14521,1.14788,1.14426,1.14780,41352.04
02.01.2019 13:00:00.000 GMT+0700,1.14779,1.14967,1.14221,1.14340,97175.957
02.01.2019 17:00:00.000 GMT+0700,1.14341,1.14418,1.13674,1.13716,104268.32809999998
02.01.2019 21:00:00.000 GMT+0700,1.13716,1.13752,1.13313,1.13352,109188.97279999999
03.01.2019 01:00:00.000 GMT+0700,1.13351,1.13477,1.13250,1.13432,61699.2486
03.01.2019 05:00:00.000 GMT+0700,1.13423,1.13541,1.13092,1.13484,55168.29
03.01.2019 09:00:00.000 GMT+0700,1.13483,1.13715,1.13459,1.13609,55884.9502
03.01.2019 13:00:00.000 GMT+0700,1.13608,1.13839,1.13540,1.13757,92455.5401
03.01.2019 17:00:00.000 GMT+0700,1.13757,1.13794,1.13374,1.13654,90285.8712
03.01.2019 21:00:00.000 GMT+0700,1.13654,1.14110,1.13613,1.13987,138995.7811
04.01.2019 01:00:00.000 GMT+0700,1.13987,1.14067,1.13828,1.13924,70469.30069999999
04.01.2019 05:00:00.000 GMT+0700,1.13924,1.14118,1.13865,1.14040,43162.8398
04.01.2019 09:00:00.000 GMT+0700,1.14041,1.14076,1.13881,1.13899,39196.2408
04.01.2019 13:00:00.000 GMT+0700,1.13900,1.14189,1.13832,1.14032,69687.7705
04.01.2019 17:00:00.000 GMT+0700,1.14032,1.14155,1.13630,1.13713,87685.6679
04.01.2019 21:00:00.000 GMT+0700,1.13713,1.14177,1.13456,1.14053,122782.64850000001
05.01.2019 01:00:00.000 GMT+0700,1.14053,1.14106,1.13940,1.13943,55690.6904
05.01.2019 05:00:00.000 GMT+0700,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 09:00:00.000 GMT+0700,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 13:00:00.000 GMT+0700,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 17:00:00.000 GMT+0700,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 21:00:00.000 GMT+0700,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 01:00:00.000 GMT+0700,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 05:00:00.000 GMT+0700,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 09:00:00.000 GMT+0700,1.13943,1.13943,1.13943,1.13943,0
